candidate,sentiment,text,tweet_coord
Donald Trump,Negative,@megynkelly @BretBaier @foxnews WTF was up with Chris Wallace attacking #Trump2016 on bankruptcy then giving Rubio a softball? #GOPDebate,
Donald Trump,Negative,"RT @VH1: Honestly, Donald Trump you were ALL types of petty at last night's #GOPDebate _ôÖÍ --&gt; http://t.co/QxdoeMfuqO http://t.co/mcr6lrJh2h",
Donald Trump,Negative,Trump gloating abt buying GOP+Dem pols &amp;them doing his bidding IS my 2000s Billionaire caricature MyaCash #GOPDebate https://t.co/5spmU3csIc,
Donald Trump,Negative,"RT @DrMartyFox: #Trump Wins Drudge 
Debate Poll 
ä_ç¥Ÿè By A Landslide 
#TedCruz #2 
#GOPDebate #PJNET_ôˆ__ôˆŸ  
äÖï¥Ÿè http://t.co/YUh6j7QqHA http://äó_",
Marco Rubio,Neutral,"RT @TheBaxterBean: Rubio Budget Raises MiddleClass Taxes, Adds $4.5T Deficit, Cuts InvestmentTax To $0 http://t.co/9S9NuVSAf7 #GOPDebate htäó_",
Donald Trump,Neutral,RT @STEEL5757: _ô_ó #DonaldTrump Plaza Casino #TeddyBear Plush in #Tuxedo _ô_ó http://t.co/QHTTX0PLDG _ô_ó #CoolStuff #GOPDebate http://t.co/QJUnzjYäó_,
Donald Trump,Positive,"#Trump is right about @megynkelly but really needs to study Matthew 7, verses 3-5. #GOPDebate  https://t.co/ygNprhiehV",
Donald Trump,Neutral,RT @AC360: It wasnäó»t all #DonaldTrump. The most memorable #GOPDebate moments right now on #AC360. http://t.co/kDNhGj2RY3 http://t.co/HZ9GwEäó_,
Donald Trump,Neutral,#GOPDebate in one picture http://t.co/WMmucJUqJu,
Donald Trump,Negative,"RT @NancyLeeGrahn: The cheers from #GOPDebate  audience afterTrump defiantly named @Rosie as the woman he called ""Fat Pig"" were the voices äó_",
Donald Trump,Negative,"RT @JohnKasich: Hey @RealDonaldTrump, if you're still looking to chip in, check out http://t.co/dy8KnZ122T
#GOPDebate",
Donald Trump,Negative,RT @oftenimprudent: I wish we could teach teenage girls to love themselves as much as Donald Trump loves himself. #GOPdebate,
Ted Cruz,Neutral,"RT @SooperMexican: Ted Cruz doesn't appreciate your emphatically sarcastic air quotes, megan kelly. #GOPDebate",
Donald Trump,Positive,"RT @DanScavino: #GOPDebate Winner!
Drudge 50% (187K) @realDonaldTrump 
TIME 46% (25K) @realDonaldTrump 
FOXSD 49% @realDonaldTrump http://täó_",
Donald Trump,Negative,#GOPDebate @FoxNews @realDonaldTrump  in1996 you called @billclinton a two timing slut.  Do you stand by that statement!?,
Marco Rubio,Positive,"IMHO #GOPDebate 
winners #MarcoRubio #Kasich #DonaldTrump 
Losers #ScottWalker #RandPaul #BenCarson 
All others were completely forgettable",
John Kasich,Positive,RT @JohnKasich: SMALLER GOVT: Ohio government payroll is smaller than it's been in 3 decades. http://t.co/IGfIF4J1TT #GOPDebate http://t.coäó_,
Donald Trump,Negative,@theblaze The REAL war on women!@realDonaldTrump @megynkelly @rushlimbaugh #GOPDebate @AnnCoulter,
Donald Trump,Negative,RT @AllThingsFlynn: This Trump vs. Fox News conflict is quite the conundrum. Itäó»s like the personification of Greed vs. Hate. Who do I rootäó_,
Marco Rubio,Positive,"#rubio still my preference but i can see point of his critics over opportunism, inconsistency #gopdebate",
Donald Trump,Positive,Did @realDonaldTrump ever tell @megynkelly to go wait in the car? Her bad attitude suggests it. #WarOnWomen #GOPDebate,
Donald Trump,Negative,RT @Roy___Rogers: @KnucklDraginSam @GOP @realDonaldTrump @yobynnad1127 AMEN! #Trump2016 #WakeUpAmerica #GOPDebate #tcot #stoprush http://t.äó_,
Donald Trump,Negative,"RT @zzcrane: Me watching the Donald Trump bandwagon pass. 
#tlot #tcot #GOPDebate http://t.co/wvQlSxgmCL",
Ted Cruz,Negative,RT @kesgardner: All Ted Cruz does is attack other Republicans. #GOPDebate,
Donald Trump,Negative,"RT @larhunter: If Donald Trump wins the election, then we'll know we're on the Biff-stole-the-almanac timeline. #GOPDebate",
John Kasich,Positive,"RT @JohnKasich: John Kasich is ready to lead. Join the team, Claire!: http://t.co/dy8KnZ122T 
#GOPDebate https://t.co/KnWmIDeqtY",
Donald Trump,Negative,"RT @WhitneyNeal: Trump has yet to give a single, evidence-based answer to a direct question about policy. That should frighten you. #GOPDebäó_",
Donald Trump,Negative,"RT @IcarusPundit: Donald Trumpäó»s closing statement is every dinner conversation had at The Villages, ever. #GOPDebate",
Donald Trump,Neutral,RT @Writeintrump: Obama better not leave his prayer rug behind in the Oval Office when I get elected because I'll throw it out.   #GOPDebate,
Donald Trump,Negative,"RT @mrskimcam: Trump just said the U.S. is stupid, so let's vote him President. WTF people. #GOPDebate",
John Kasich,Positive,So excited for @johnkasich #GOPDebate #Kasich4Us #Republicandebate #kasich2016 been waiting for 20 years!!,
Donald Trump,Negative,Hey look it's my feelings about Donald Trump summed up in one gif #GOPDebate http://t.co/zjWUGwj9Hz,
Marco Rubio,Negative,RT @TheBaxterBean: Marco Rubio Briefly Backed Immigration Reform Then Privately Berated DREAMers http://t.co/We77QdT3Kt #GOPDebate http://täó_,
Donald Trump,Negative,RT @kesgardner: Trump is a lunatic. #GOPDebate,
Ted Cruz,Positive,"Cruz has class &amp; truth, that gets my vote! #GOPDebate",
Donald Trump,Negative,"RT @kesgardner: AssClown: I'm the only reason anyone is even talking about illegal immigration. Keep digging, Donald! #GOPDebate",
Donald Trump,Negative,"RT @kesgardner: Hi Fox panel, can you just ask Donald every single question? Hand him a shovel while you're at it so he can keep digging. #äó_",
Donald Trump,Positive,#GOPDebate #Trump is Breaking Records! So what he's not a polished Politician. Makes me love him even more.  https://t.co/TgOwCHxf3x,
Donald Trump,Negative,Why are all the Trump accessory women wearing the same shoes?!  #GOPDebate http://t.co/Xz4zc1Lt8N,
Donald Trump,Negative,And Donald Trump is an absolute nut! So entertaining LOL #GOPDebate,
Donald Trump,Negative,RT @DanScavino: .@MegynKelly trying 2show up @realDonaldTrump w @FoxNews. Trying 2take him down. Trying 2destroy him. Not happening. #Kellyäó_,
Donald Trump,Negative,I give him a e for his big ego. #GOPDebate A's are earned for excellence. Rhymes with rump.,
Marco Rubio,Positive,"RT @NRO: ""@marcorubio got the best reviews, and deserved them."" Read more of our #NREditorial recap of the #GOPDebate ---&gt; http://t.co/sTzwäó_",
Donald Trump,Negative,Trump changed his mind on supporting PARTIAL BIRTH ABORTION because a friend changed their mind on aborting &amp; had a great kid. #GOPDebate,
Donald Trump,Negative,"RT @lesleyabravanel: Trump sycophants want to know what @megynkelly's ""hidden agenda"" was last night. Answer is simple: it's called a vaginäó_",
Donald Trump,Negative,Donald Trump is a really nasty piece of work. Hope he disappears quickly. #GOPDebate,
Donald Trump,Negative,"RT @pattonoswalt: If Trump is against ""p.c. culture,"" I'm suddenly 100% for it. Not even kidding. What a howling shit-cave of a human. #GOPäó_",
Donald Trump,Negative,"RT @Davante_R: Women that would be offended by Trumps ""Misogyny"" most certainly don't vote Republican.
Find a new fake issue Faux News.
#äó_",
Donald Trump,Neutral,RT @RedheadAndRight: Meet the new darling of the left Üó† Megyn Gotcha Kelly. #GOPDebate @FoxNews #DonaldTrump #MegynKelly,
Donald Trump,Negative,"If #DonaldTrump donates to U..He can call in a favor years later?? Sounds like #TheGodfather
NOT #POTUS Thats legal?
#GOPDebate #GOPClownCar",
Donald Trump,Negative,"RT @kesgardner: If politics can be even partially rational, Trump's campaign for the GOP nomination just ended. #GOPDebate",
Ted Cruz,Negative,RT @maureenjohnson: Ted Cruz is going to personally take away your telescope and try you as a witch. #GOPDebate,
Donald Trump,Positive,@realDonaldTrump You killed it last night at the #GOPDebate glad to have some that cares for America  #MakeAmericaGreatAgain,
Donald Trump,Neutral,".@megynkelly  asked .@realDonaldTrump  poor questions, why, was this to help Bush in the polls? #Hannity #GOPDebate https://t.co/p389iIlE2N",
Marco Rubio,Negative,RT @TheBaxterBean: Yes Marco Rubio Actually Said The Iraq Invasion 'Was Not A Mistake' http://t.co/xRowKHyMm1 #GOPDebate http://t.co/vjMjdMäó_,
Marco Rubio,Negative,RT @TheBaxterBean: Marco Rubio Voted Against Unemployment Benefits Even Though Florida Needs Them Most http://t.co/2i6UolSctj #GOPDebate htäó_,
Donald Trump,Negative,RT @3ChicsPolitico: Donald Trump insulted @megynkelly and ALL women and not one man on stage confronted him. None of them are worthy to be äó_,
Donald Trump,Negative,"RT @jjauthor: @learjetter, I was waiting for @megynkelly to ask @realDonaldTrump, ""When did you stop beating your wife?"" #GOPDebate http://äó_",
Donald Trump,Negative,"Paul Krugman sums up what happended last night: ""One of our two major parties has gone off the deep end"" http://t.co/gkubEM7gE7 #GOPDebate",
Donald Trump,Negative,RT @AnthonyMarlowe: #Trump #Video It cost 4 times more than the $700M it would've if it were being managed by @realDonaldTrump #GOPDebate häó_,
Donald Trump,Negative,RT @proginosko: Prediction: in the final #GOPDebate Donald Trump will tear off his #MissionImpossible mask to reveal a smirking Jon Stewart.,
Ted Cruz,Negative,RT @kesgardner: Ted Cruz is angling himself to be a slightly less loony version of Donald Trump. #GOPDebate,
Donald Trump,Negative,Meet the new darling of the left Üó† Megyn Gotcha Kelly. #GOPDebate @FoxNews #DonaldTrump #MegynKelly,
Donald Trump,Negative,"#GOPDebate: a lesson for coming months: quality and not quantity in words &amp; time for tangible and believable propsals
http://t.co/YHvNoEinyi",
Donald Trump,Negative,"RT @TUSK81: Not one candidate spoke up against Trump's mass-deportation plan, &amp; not one condemned his racist comments. Latinos won't forgetäó_",
Donald Trump,Positive,"Donald is my hero. 
 #GOPDebate http://t.co/9ZZFLChJQO",
Donald Trump,Positive,RT @JohnAmato: I actually agree with @AndreaTantaros on something. She said @realDonaldTrump didn't hurt himself in #GOPDebate and I concur.,
Donald Trump,Negative,donald trump... #whatajoke #GOPDebate,
John Kasich,Positive,RT @JohnKasich: Creating jobs is our greatest moral purpose because they strengthen our families &amp; communities. #GOPDebate http://t.co/80Xeäó_,
Ted Cruz,Positive,"RT @nevagphx1: @CarlyFiorina Magnificent at the first #GOPDebate. I support Ted Cruz as POTUS, but would support you as running mate or POTäó_",
John Kasich,Positive,Kasich the clear standout among #GOPDebate cannon fodder. But his record contradicts statements on LGBT acceptance: http://t.co/YNucKULnjV,
Donald Trump,Negative,RT @NewsWriter2: So we have Americans getting beheaded overseas and @megynkelly is worried whether @realDonaldTrump calls Rosie O'Donnell fäó_,
Donald Trump,Positive,"RT @1216BJ: #GOPDebate: Carly Fiorina Dominates Social Media, Even Beating Out Trump - Fox Nation http://t.co/VUeEveRdDy",
Donald Trump,Negative,"RT @vivigold197: @realDonaldTrump: misogynist, ignorant, xenophobic and greedy: another proof that money does not buy class. #GOPDebate #GOäó_",
Donald Trump,Positive,"RT @WayneDupreeShow: Disagree all you want
#GOPDebate was hit job on @realDonaldTrump and calculated mute job on @SenTedCruz @RealBenCarsoäó_",
Donald Trump,Positive,I actually agree with @AndreaTantaros on something. She said @realDonaldTrump didn't hurt himself in #GOPDebate and I concur.,
John Kasich,Neutral,"RT @TheJimHughes: Note to Kasich - the question wasn't about ""love"" it was about ""gay marriage"" #TheBigDodge #GOPDebate",
Donald Trump,Neutral,"RT @palmaceiahome1: Rush Limbaugh to Megyn Kelly ""I know no Democrat Candidate would be treated the way Megyn Kelly treated Trump."" #FoxNewäó_",
Donald Trump,Negative,RT @deray: Trump literally said that he donates to politicians and then calls them later to get what he wants. He literally just said that.äó_,
Donald Trump,Neutral,RT @_youhadonejob: Donald Trumps hair arrives early for the Republican Party presidential debate. #GOPDebate http://t.co/cQuPKRyBse,
Donald Trump,Positive,"#GOPDebate Debate was good once they quit throwing crap at @realDonaldTrump and got substantive.  Candidates handled the ""gotcha"" questions.",
Donald Trump,Positive,So who watched the GOP Debate last night and saw Trump #DonaldTrump #GOPDebate @realDonaldTrump #TrumpForPresident,
Donald Trump,Negative,RT @3ChicsPolitico: Trump calling @megynkelly a bimbo is reprehensible. This is about choosing a candidate for president NOT the Jerry Spriäó_,
Donald Trump,Negative,RT @TeaTraitors: #GOPDebate was still Clown Show! I'm glad Head Clown Trump helping destroy GOP. http://t.co/88QwTnPuIR,
Donald Trump,Positive,"NOT A FAN OF #FoxNews @megynkelly but she deserves better than to be called BIMBO by #lDonaldTrump for doing her job
#GOPDebate #UniteBlue",
Donald Trump,Negative,"Hey .@realDonaldTrump You know who didn't whine about ""unfair"" questions? @CarlyFiorina Grow a set why don't ya'. #GOPDebate",
John Kasich,Negative,John Kasich seems like a decent guy shame he'll drowned out by the loonies in the #GOP #GOPDebate,
Donald Trump,Negative,RT @feministabulous: My feelings about Trump after #GOPDebate: http://t.co/bKuz2OiamE,
Donald Trump,Neutral,"@exjon @EssmailPatricia @CuffyMeh 
Trump supporters threaten to take Nerf ball home after hard hit.
#GOPDebate #TrumpsPeePeehurts",
Ted Cruz,Positive,"RT @WAGNERGIRLE: Thank you @tedcruz for speaking out on #govermentcartel 
#MakeAmericaGreatAgain  #SecureTheBorder #GOPDebate http://t.co/äó_",
Donald Trump,Positive,Which candidate really likes hugs? The one word that defined each one's #GOPDebate http://t.co/RGHrEnzEwI http://t.co/rZZzG0m3P0,
John Kasich,Negative,"RT @HRC: .@JohnKasich said heäó»d love his daughters if they were gay, but his voting record says otherwise #GOPDebate http://t.co/qWNQMbLZ5d",
Donald Trump,Negative,"RT @MilesOrionFeld: ""Are you not entertained?!?!?!"" Then #Trump throws a severed head into the crowd. #GOPDebate",
Ted Cruz,Negative,"RT @ThatChrisGore: I'm not really sure about President, but Ted Cruz would make an excellent Marvel villain. #GOPDebate #TedCruz #Marvel",
Donald Trump,Negative,"Donald Trump: Reagan Was A Con Man Who Couldn't 'Deliver The Goods' | ThinkProgress
#GOPDebate http://t.co/LHmRKxWvcI",
Ted Cruz,Neutral,RT @AnneBayefsky: .@SenTedCruz: any American who leaves &amp; joins #ISIS should lose their passport. So there's no coming home. #GOPDebate,
Ted Cruz,Positive,"RT @JGalt9: Love that Cruz introduced a bill to strip citizenship from Americans who join ISIS 
#GOPDebate http://t.co/MylrLV0U7e",
Donald Trump,Negative,"RT @Anergo_Teacher: Seriously, #Trump is dangerous for the whole world. #GOPDebate",
Donald Trump,Negative,Credit where credit is due - I was shocked #SHOCKED by Trump's cogent health care debate response #GOPdebate  https://t.co/Mdfg53UfaZ,
Donald Trump,Negative,@ElianaBenador @PoliticalShort @Samlove0313Love @_AndyBryant @ebenjones @mjgranger1 #GOPDebate Trump too selfish &amp; immature to have power.,
Donald Trump,Neutral,"RT @fakedansavage: Kelly: ""You call women you don't like 'fat pigs,' 'dogs,' and 'disgusting animals.'"" Trump: ""Only Rosie O'Donnell."" Crowäó_",
Marco Rubio,Positive,Really thought @marcorubio had a solid performance last night! #GOPDebate,
Donald Trump,Negative,"RT @Writeintrump: Hey Megan Kelly, ask Kelly Osbourne how attacking me this week worked out for her.  #GOPDebate",
Ted Cruz,Positive,RT @megynkelly: .@tedcruz gets powerful response from @FrankLuntz focus group. #KellyFile #GOPDebate,
Donald Trump,Negative,"That pose is SO awkward. Who in the hell did she work with?  She's stiff, not natural. Kinda like the #GOPDebate last night. @Pissed_Pat",
Ted Cruz,Positive,RT @RickCanton: #CruzCrew - the outsider. Always tells the truth. Honors commitments. #GOPDebate http://t.co/WHEoRxlcid,
John Kasich,Neutral,"Winners of the #GOPDebate as far as I'm concerned:
@CarlyFiorina 
@JohnKasich 
@RealBenCarson 
@marcorubio",
Donald Trump,Neutral,RT @Writeintrump: Anyone know why Megan Kelly was so pissed at me during the #GOPDebate? I'm pretty sure I was never married to her.,
Ted Cruz,Positive,RT @thecjpearson: Called it. #GOPDebate #2016 #CruzToVictory http://t.co/P5JEm3cfpW,
Donald Trump,Positive,Trumptastic #GOPDebate,
Donald Trump,Negative,"Re #GOPDebate: Sure, it's all fun and games until one of these wackos has his finger on the big red button. http://t.co/ndgrhvpB4I",
Ted Cruz,Positive,RT @bodybynance: Absolutely! I have authored Kate's law. The leader of our OWN party BLOCKED Kate's law #CruzCrew #GOPDebate http://t.co/84äó_,
Donald Trump,Negative,Trump should have told Megyn Kelly to go to HELL! #FoxNews #GOPDebate,
Ted Cruz,Neutral,RT @tedcruz: We need a new Commander-in-Chief who will stand up to our enemies and that has credibility #GOPDebate #CruzCrew,
Donald Trump,Negative,RT @Ben_Elder1155: Donald Trump to Rand Paul tonight. #GOPDebate http://t.co/jV4yfOv7xZ,
Donald Trump,Negative,"Although the occasional dick, @realDonaldTrump sure knows how to keep these political debates alive and exciting. #GOPDebate",
Marco Rubio,Negative,"RT @Writeintrump: #GOPDebate After Party Update:  Rubio, Cruz, and Bush are huddled in the corner speaking Spanish. I think they're plottinäó_",
Ted Cruz,Positive,RT @tedcruz: A great #GOPDebate discussing issues important to the American people: https://t.co/WeMKfA9vLN Join our fight: https://t.co/xVäó_,
Donald Trump,Negative,hadiyah: Somebody needs to get the water off the stage before Trump and Paul start tossing drinks at each other. #GOPDebate,
Donald Trump,Negative,"@kesgardner Agreed. Still, he's the one everyone is talking about. #mystified #GOPDebate",
Donald Trump,Negative,RT @pattonoswalt: Donald Trump's views on immigration are based solely on the first 8 minutes of SCARFACE. #GOPDebate,
Donald Trump,Negative,"Maybe if we should paying attention to every little thing #DonaldTrump sez....he's not a novelty anymore! 
#GOPDebate #GOPClownCar",
Donald Trump,Negative,Trump's lead shows just how low the Bar is for GOP Nomination &amp; speaks to Base approval of their elected leaders! #GOPDebate #UniteBlue #P2,
Ted Cruz,Positive,#Winning #CruzCrew _ôÖ_ Keep It Up! #TedCruz2016 #GOPDebate  https://t.co/uR7q4KjRfx,
Donald Trump,Neutral,"RT @Anergo_Teacher: Imagine a #Trump Administration dealing with a US-Russia crisis. 
WWIII #GOPDebate",
Donald Trump,Neutral,RT @ThePatriot143: You Don't have to support Trump to realize that every question was delivered in a Backhanded manner #GOPDebate http://t.äó_,
Donald Trump,Positive,RT @nerdist: Trump's really great in Orange is the New Orange #GOPDebate,
Donald Trump,Negative,"RT @TheFriddle: Trump: Mexico!!!
Rubio: Majority of illegals aren't Mexican.
That's what grandstanding vs understanding real issue looks äó_",
Donald Trump,Negative,RT @weeklystandard: .@realDonaldTrump is looking more like Bernie Sanders - on the issues http://t.co/bzKnuXxObk #GOPDebate http://t.co/dxxäó_,
Donald Trump,Positive,"#Trump2016 #GOPDebate The Illuminati want him out, but he will win the same http://t.co/2kVlxWB9Kd http://t.co/zyCvnY4NOq",
Ted Cruz,Positive,"RT @PamelaGeller: LOVE CRUZ! ""If you join ISIS you are signing  your death warrant."" Go Ted go! Anyone that joins ISIS loses their citizensäó_",
Donald Trump,Negative,RT @hilcox18: Donald Trump is Drunk Uncle #GOPDebate http://t.co/fcn61e8e3w,
Ted Cruz,Positive,RT @jonmcclellan: Watch @TedCruz strong closing statement at the #GOPdebate: Video: https://t.co/kQlgCBaV7p #CruzCrew,
John Kasich,Negative,"Retrospect #gopdebate USA needs someone #conservative, confident,respectfully listens, not arrogant @rushlimbaugh says @Fiorina @Kasich",
Donald Trump,Negative,@realDonaldTrump ur complaining so much about being targeted but do u think that when ur president u won't be targeted? #GOPDebate,
Donald Trump,Negative,which is NOT fair and balanced #GOPDebate,
Ted Cruz,Negative,RT @bazecraze: Ted Cruz looks like someone put a suit on a sigh. #GOPDebate,
Donald Trump,Positive,"@realDonaldTrump treated @RandPaul like the little gnat he is. 
#GOPDebate #tcot #trump #MakeAmericaGreatAgain #GoTrump",
Donald Trump,Negative,RT @nerdist: Trump constantly looks like he's trying to push out a fart. #GOPDebate,
Donald Trump,Neutral,RT @megynkelly: .@realDonaldTrump: I think the big problem this country has is being politically correct #GOPDebate,
Donald Trump,Neutral,#GOPDebate: Fox News tries to dump the #Trump. http://t.co/MuSxkU53Ol http://t.co/2Ha71jFRp1,
Donald Trump,Negative,"""This was more of an inquisition than it was a debate"" says Sen Graham about Fox News moderators questioning @realDonaldTrump at #GOPDebate",
Marco Rubio,Positive,Amazing! Marco Rubio schools @ChrisCuomo on when life begins: https://t.co/PrKLk6X4Ji #ProLife #GOPDebate #TCOT,
Donald Trump,Negative,"RT @StudyingLiberty: The man who wants to take on Iran, Russia, and China can't even handle a few tough debate questions by Megyn Kelly. #Gäó_",
Donald Trump,Positive,"RT @DanScavino: .@realDonaldTrump wins 1st #GOPDebate!
#MakeAmericaGreatAgain #Trump2016 #TeamTrump #TrumpForPresident _ôˆ__ôˆŸ http://t.co/2P8dWäó_",
Donald Trump,Negative,"RT @RadioFreeTom: Look, Trumpkins, your hero didn't even win the steak knives last night, know what I'm sayin' here? #GOPDebate",
Donald Trump,Negative,"RT @ShadowBard: American women take note: When @@realDonaldTrump justified his piggish attacks on women at the #GOPDebate, not 1 man on staäó_",
Donald Trump,Negative,Here is another one! Poor Frank is taken a beating_ôÖ© LOL!_ôÖ‰_ôÖ‰_ôÖ‰ #GOPDebate @realDonaldTrump  https://t.co/FfkuAoetTM,
