id,candidate,candidate_confidence,relevant_yn,relevant_yn_confidence,sentiment,sentiment_confidence,subject_matter,subject_matter_confidence,candidate_gold,name,relevant_yn_gold,retweet_count,sentiment_gold,subject_matter_gold,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone
178,No candidate mentioned,1,yes,1,Negative,1,None of the above,0.3441,,ThadM44,,16,,,"RT @ChrisJZullo: Last night they could have have raised their hands. I'm a spoiled billionaire, I'm an oligarch, I'm a racist, I'm a religiï¿_ï¿__",,8/7/15 9:53,6.30E+17,Pennsylvania,
179,Ben Carson,1,yes,1,Positive,1,None of the above,1,,mmprnews,,0,,,"#GOPDebate 2016 #teamdrbencarson @RealBenCarson  WOW! Brilliant, Cool, Calm &amp; Collected.#empowering",,8/7/15 9:53,6.30E+17,"Florida, USA",Eastern Time (US & Canada)
185,No candidate mentioned,1,yes,1,Negative,1,FOX News or Moderators,0.6629,,helenehrenhofer,,16,,,"RT @renomarky: ï¿_ï¿_ï¿_ never watch #KellyFile again
1. #GOPDebate questions 
2. Pandering to @DWStweets 
3. Making it about ratings not_ï¿___ï¿_ http:/ï¿_ï¿__",,8/7/15 9:53,6.30E+17,,Central Time (US & Canada)
192,No candidate mentioned,1,yes,1,Neutral,1,None of the above,1,,jojo21,,37,,,"RT @GovernorPerry: .@GovernorPerry's ""On Fire"" Debate Performance https://t.co/aRmJN6vwPG #GOPDebate #Perry2016 #tcot",,8/7/15 9:53,6.30E+17,"Ellicott City, Maryland",Eastern Time (US & Canada)
194,No candidate mentioned,1,yes,1,Neutral,1,Immigration,0.6854,,jojo21,,40,,,RT @GovernorPerry: ICYMI: @GovernorPerry on Border Security/Illegal Immigration #GOPDebate  #Perry2016 #tcot https://t.co/1S25d2D0nK,,8/7/15 9:53,6.30E+17,"Ellicott City, Maryland",Eastern Time (US & Canada)
201,No candidate mentioned,1,yes,1,Neutral,1,None of the above,1,,LaffertyRowena,,27,,,RT @Playing_Dad: Settling in for the #GOPDebate http://t.co/W6W3e5NBOa,,8/7/15 9:53,6.30E+17,,Eastern Time (US & Canada)
202,No candidate mentioned,1,yes,1,Negative,1,FOX News or Moderators,1,,emctsprime,,768,,,"RT @realDonaldTrump: ""@FrankLuntz: I'm getting a lot of @MegynKelly hatemail tonight. _ï¿_ï¿_ï¿_ #GOPDebate"" She is totally overrated and angry. Sheï¿_ï¿__",,8/7/15 9:53,6.30E+17,Earth: Senseless nonsense,Pacific Time (US & Canada)
205,No candidate mentioned,1,yes,1,Negative,1,None of the above,1,,ThadM44,,19,,,RT @LisaBloom: Not a single question in last night's #GOPDebate about the most urgent issue of our time: climate change.,,8/7/15 9:53,6.30E+17,Pennsylvania,
207,No candidate mentioned,1,yes,1,Positive,1,None of the above,1,,ZConine,,0,,,After the #GOPDebate all of the promises being made by startups at this tech conference seem quite reasonable.,,8/7/15 9:53,6.30E+17,"Las Vegas, NV",Pacific Time (US & Canada)
212,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,eobrien2013,,1773,,,"RT @feministabulous: There's nothing like listening to ten dudes who will never need an abortion, talk about whether I should have a right ï¿_ï¿__",,8/7/15 9:53,6.30E+17,,Eastern Time (US & Canada)
213,No candidate mentioned,1,yes,1,Negative,1,FOX News or Moderators,1,,dudapop79,,14,,,RT @SenWhitehouse: FOX silenced by Koch billions too? Not a single question at last night's #GOPDebate to #climatechange deniers about Mondï¿_ï¿__,,8/7/15 9:53,6.30E+17,earth,
215,No candidate mentioned,1,yes,1,Neutral,1,None of the above,0.6824,,guilprickette,,0,,,"So we just had an office chat about the #GOPDebate,  &amp; I was outed as both a flaming liberal and a politics geek. Probably not surprising.",,8/7/15 9:53,6.30E+17,"Anchorage, Alaska",America/Anchorage
218,cruz,1,yes,1,Negative,1,None of the above,1,,jojo21,,10,,,RT @kesgardner: All cruz does is attack other Republicans. #GOPDebate,,8/7/15 9:53,6.30E+17,"Ellicott City, Maryland",Eastern Time (US & Canada)
220,No candidate mentioned,1,yes,1,Neutral,1,None of the above,1,,ProtectIllusion,,151,,,RT @FrankConniff: Hard to say who won the #GOPDebate - Bernie or Hillary?,,8/7/15 9:53,6.30E+17,,Mountain Time (US & Canada)
221,trump,1,yes,1,Negative,1,None of the above,1,,kevincron,,64,,,"RT @larhunter: If trump wins the election, then we'll know we're on the Biff-stole-the-almanac timeline. #GOPDebate",,8/7/15 9:53,6.30E+17,Alto MI,Central Time (US & Canada)
225,No candidate mentioned,1,yes,1,Negative,1,FOX News or Moderators,1,,Jo_Kyle,,177,,,RT @edwrather: The biggest losers in the debate were the Fox moderators who attacked instead of moderating #GOPDebate,,8/7/15 9:53,6.30E+17,Realville,
226,trump,1,yes,1,Negative,1,None of the above,1,,jojo21,,22,,,"RT @WhitneyNeal: Trump has yet to give a single, evidence-based answer to a direct question about policy. That should frighten you. #GOPDebï¿_ï¿__",,8/7/15 9:53,6.30E+17,"Ellicott City, Maryland",Eastern Time (US & Canada)
229,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,Deb_Libby,,8,,,"RT @GrnEyedMandy: Women who shame other women for having abortions deserve to be shamed for having no soul or self respect. 
#PlannedParenï¿_ï¿__",,8/7/15 9:53,6.30E+17,East coast,Eastern Time (US & Canada)
232,No candidate mentioned,1,yes,1,Negative,1,Foreign Policy,0.634,,celestepewter,,9,,,"RT @TheXclass: ""When the rich wage war it's the poor who die."" Jean-Paul Sartre 
This is now GOP foreign policy. 
#GOPDebate",,8/7/15 9:53,6.30E+17,The other New York,Eastern Time (US & Canada)
234,No candidate mentioned,1,yes,1,Negative,1,Jobs and Economy,1,,Spence4782,,1,,,RT @SeaBassThePhish: S/O to the GOP for being proud of defeating teachers union even though they just wanted higher wages #GOPDebate,,8/7/15 9:53,6.30E+17,"Lawton, Oklahoma",
237,trump,1,yes,1,Negative,1,None of the above,1,,jojo21,,12,,,"RT @mrskimcam: Trump just said the U.S. is stupid, so let's vote him President. WTF people. #GOPDebate",,8/7/15 9:53,6.30E+17,"Ellicott City, Maryland",Eastern Time (US & Canada)
238,kasich,1,yes,1,Positive,1,None of the above,1,,ultrasonkim,,0,,,So excited for @johnkasich #GOPDebate #Kasich4Us #Republicandebate #kasich2016 been waiting for 20 years!!,,8/7/15 9:53,6.30E+17,central ohio,
240,trump,1,yes,1,Negative,1,None of the above,1,,amarco16,,0,,,Hey look it's my feelings about trump summed up in one gif #GOPDebate http://t.co/zjWUGwj9Hz,,8/7/15 9:53,6.30E+17,,Quito
241,No candidate mentioned,1,yes,1,Neutral,1,None of the above,1,,PotTube,,466,,,"RT @tommychong: Are any of these dudes for the legalization of marijuana, or what? #GOPDebate",,8/7/15 9:53,6.30E+17,"Washington, USA",
246,No candidate mentioned,1,yes,1,Negative,1,FOX News or Moderators,1,,havocthetwisted,,0,,,"When cnn, msnbc ,and the new York times praise fox moderators then you know the moderators fucked up. #GOPDebate",,8/7/15 9:52,6.30E+17,find me,
247,trump,1,yes,1,Negative,1,None of the above,1,,jojo21,,11,,,RT @kesgardner: Trump is a lunatic. #GOPDebate,,8/7/15 9:52,6.30E+17,"Ellicott City, Maryland",Eastern Time (US & Canada)
248,cruz,1,yes,1,Positive,1,None of the above,1,,ChuckNellis,,6,,,"Cruz has class &amp; truth, that gets my vote! #GOPDebate",,8/7/15 9:52,6.30E+17,Great State of North Carolina!,Eastern Time (US & Canada)
253,trump,1,yes,1,Negative,1,FOX News or Moderators,1,,jojo21,,67,,,"RT @kesgardner: Hi Fox panel, can you just ask Donald every single question? Hand him a shovel while you're at it so he can keep digging. #ï¿_ï¿__",,8/7/15 9:52,6.30E+17,"Ellicott City, Maryland",Eastern Time (US & Canada)
258,trump,1,yes,1,Negative,1,Women's Issues (not abortion though),0.6667,,beetlechocolate,,0,,,Why are all the Trump accessory women wearing the same shoes?!  #GOPDebate http://t.co/Xz4zc1Lt8N,,8/7/15 9:52,6.30E+17,everything is fake.,Central Time (US & Canada)
260,trump,1,yes,1,Negative,1,None of the above,1,,_iheartmomo,,0,,,And trump is an absolute nut! So entertaining LOL #GOPDebate,,8/7/15 9:52,6.30E+17,"Accra, New Jersey",Mountain Time (US & Canada)
262,No candidate mentioned,1,yes,1,Negative,1,None of the above,0.6562,,elueroy,,6,,,RT @DykstraDame: Candidates went after @HillaryClinton 32 times in the #GOPdebate-but remained silent about the issues that affect us. httpï¿_ï¿__,,8/7/15 9:52,6.30E+17,,Pacific Time (US & Canada)
265,trump,1,yes,1,Negative,1,None of the above,1,,janniaragon,,0,,,I give him a e for his big ego. #GOPDebate A's are earned for excellence. Rhymes with rump.,,8/7/15 9:52,6.30E+17,,Pacific Time (US & Canada)
271,trump,1,yes,1,Negative,1,Abortion,1,,Clever_Otter,,0,,,Trump changed his mind on supporting PARTIAL BIRTH ABORTION because a friend changed their mind on aborting &amp; had a great kid. #GOPDebate,,8/7/15 9:52,6.30E+17,Earth,Mountain Time (US & Canada)
272,Ben Carson,1,yes,1,Positive,1,None of the above,1,,annemargaretj,,0,,,Best closing statement: @RealBenCarson #GOPDebate,,8/7/15 9:52,6.30E+17,"Breslau, Ontario ",
277,No candidate mentioned,1,yes,1,Negative,1,Abortion,1,,willowalmighty,,608,,,RT @amaraconda: FETUSES ARE NOT UNBORN BABIES THEY ARE CLUSTERS OF CELLS STOP SHAMING PEOPLE WHO WANT/HAVE HAD ABORTIONS #GOPDebate,,8/7/15 9:52,6.30E+17,,Atlantic Time (Canada)
279,Chris Christie,1,yes,1,Neutral,1,None of the above,1,,pattmlatimes,,0,,,I know now who it is that #ChrisChristie reminds me of: actor Andy Devine. #GOPDebate http://t.co/xYy8FxPjcD,,8/7/15 9:52,6.30E+17,,Hawaii
