"id","tweet_id","candidate","name","tweet_created","tweet_location","user_timezone","retweet_count","text"
"20023","ID708102403283918848","Donald Trump","Brad","03/10/2016 20:29","Bradenton, Florida","Atlantic Time (Canada)","294","RT @immigrant4trump: MSM always showing Trump Protesters,but won't show protesters for other candidates @jaketapper #Trump2016 #GopDebate h"
"20024","ID707982366581530624","Donald Trump","Ebeetle","03/10/2016 12:32","null","none","267","RT @immigrant4trump: The American people are DONE with career politicians ""VOTE FOR TRUMP!"" #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt"
"20025","ID708104793764397056","Donald Trump","Rosa Pacheco","03/10/2016 20:38","null","none","192","RT @immigrant4trump: The American people are DONE with career politicians ""VOTE FOR TRUMP!"" #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt"
"20026","ID708105792415604738","Donald Trump","Charles Stevenson","03/10/2016 20:42","Rome, GA","none","2","RT @robyns323: This is supposed to be a #GOPDebate and a run for #president. It has turned into a stop Donald #Trump mission. Not happening"
"20027","ID708108105125597184","Donald Trump","Brian Hetzel","03/10/2016 20:51","West Hartford, CT","Eastern Time (US & Canada)","178","RT @igorvolsky: Trump vows to repeal Obamacare, which means 129 million Americans with pre-existing conditions could lose their coverage #G"
"20028","ID708105125600997377","Donald Trump","Deborah Pearson","03/10/2016 20:39","In the Clouds protecting USA","Central Time (US & Canada)","32","RT @PolitiBunny: 'Trump will not challenge the system, he is the system.' - @CarlyFiorina #GOPDebate   I miss her in this race."
"20029","ID707920161286852608","Marco Rubio","Tony","03/10/2016 08:24","null","Central Time (US & Canada)","0","@marcorubio just needs to be Marco Rubio in the debate tonight, be the person everyone knows. ##GOPDebate"
"20030","ID707955577494872064","Donald Trump","Larry Thornton","03/10/2016 10:45","Georgia","Eastern Time (US & Canada)","0","Do you think Bush was alluding to Trump? #GOPdebate https://t.co/BaMGRJGNXL close. GHW Bush is saying what appears to be ISIS. Wife SAYTRUMP"
"20031","ID708101465563340800","Donald Trump","jessica mendosa","03/10/2016 20:25","null","none","0","#gopdebate #Trump #MemeHistory #BrownAndUnbothered #donaldtrump  TheVulgarPuppy @YouTube  https://t.co/nZ94X1bs38 https://t.co/2e0Nv7ePvD"
"20032","ID708107815722688512","Donald Trump","Cathy","03/10/2016 20:50","Boise","Mountain Time (US & Canada)","0","""Going into the debate, the stakes are enormous."" Is that a Trump joke? #GOPDebate"
"20033","ID708109690337566720","Donald Trump","The Caring Grandma","03/10/2016 20:58","null","Indiana (East)","11","RT @LiberalMmama: Yesterday Trump said ""Islam hates us"". Reince Priebus just endorsed him live in Florida. UNFREAKINBELIEVABLE!  #GOPDebate"
"20034","ID708000802548285440","Donald Trump","Tanya Breukers","03/10/2016 13:45","null","Pacific Time (US & Canada)","0","@jaketapper pls address the violence, and now charges for assault at Trump rallies.#GOPDebate"
"20035","ID708109215269675008","Donald Trump","TonyW","03/10/2016 20:56","Traveling on this blue marble","Eastern Time (US & Canada)","6","RT @Deanofcomedy: Tonight lets watch Trump try to act presidential. That will last until someone attacks him and then its back to Trumpenst"
"20036","ID707960643480100864","Donald Trump","Noah J. Toly","03/10/2016 11:05","Illinois","Eastern Time (US & Canada)","4","RT @ChicagoCouncil: A Trump nomination could have serious effects on trade policy this summer, writes @philipilevy https://t.co/Wlulg6uZYH "
"20037","ID708108169512411136","Donald Trump","Carlathered","03/10/2016 20:51","null","none","5","RT @Trumpscendent: Trump is America. He defended USA when Corrupt Politicians faild. I insist to Pledge For Trump! #GOPDebate #PresidentsTr"
"20038","ID707993051344543751","Donald Trump","BABS","03/10/2016 13:14","null","none","112","RT @immigrant4trump: Watch Trump at CNN's #GOPDebate Miami, FL Tonight-8:30ET Live Stream: https://t.co/PikGgQIRY3  #Trump2016 #FLPrimary h"
"20039","ID708100206181621760","Donald Trump","Joel Padre","03/10/2016 20:20","California","Pacific Time (US & Canada)","71","RT @pattonoswalt: Trump does sun salutations before tonight's #GOPDebate. https://t.co/wG7MjJLIel"
"20040","ID708105719778660352","Donald Trump","Mikayla Millner","03/10/2016 20:42","null","none","4","RT @SouthernKeeks: Suggestions to candidates:  1. Use Trump's words against him without stooping to his level.  2. Focus on policy.  #GOPDe"
"20041","ID708105984099491840","Ted Cruz","Joseph W Hruska","03/10/2016 20:43","Midland, TX","none","65","RT @jphilman0206: Cruz can make the argument in the general that a crony capitalist can't Capitalism>Socialism #CruzCrew #GOPDebate https:/"
"20042","ID708086270271070208","Donald Trump","LATINA 4 TED CRUZ","03/10/2016 19:24","United States","none","0","@NoFencejumpers all is not what it seems? Trump that! Conman walking! #GOPDebate #CNNDebate @KatWhite1018"
"20043","ID708109647299911680","Donald Trump","Anthony  Williams","03/10/2016 20:57","null","Pacific Time (US & Canada)","186","RT @WayneDupreeShow: For Trump to get this far for President Of the United States as a businessman not a politician speaks volumes  #GOPDeb"
"20044","ID708106690781167616","John Kasich","powr2ppl","03/10/2016 20:46","OH-IO","Eastern Time (US & Canada)","4","RT @jasonahart: If pressed on #Obamacare at tonight's #GOPDebate, @JohnKasich will say he slowed Medicaid growth. Here's the truth: https:/"
"20045","ID708098143225782272","Ted Cruz","Ruth Yoder","03/10/2016 20:12","null","Atlantic Time (Canada)","16","RT @frickenchamps: MT @LynnMarki: TED CRUZ is a TRUE Conservative that will fight for your Rights! https://t.co/rlgwMqVFos #CruzCrew #PJNET"
"20046","ID707971167232073728","Donald Trump","BrevardFlorida4Trump","03/10/2016 11:47","null","none","82","RT @immigrant4trump: Florida Vote For Trump ""March 15"" #FLPrimary #FloridaPrimary #Trump2016 #GOPDebate #AlwaysTrump Watch Video: https://t"
"20047","ID708045264297332737","Donald Trump","bisbille","03/10/2016 16:42","dans l'oeil du cyclone","Buenos Aires","0","@realDonaldTrump @FoxNews #GOPDebate  Look, Trump took 1M and turn it into 10B ! If he can do the same with tax payers money it'll be huuge!"
"20048","ID708050615507615745","Donald Trump","Eric M Byrne","03/10/2016 17:03","Where I'm At","Pacific Time (US & Canada)","0","@jaketapper How is the tone of a President Trump America going to differ from a Candidate Trump Rally? #GOPDebate"
"20049","ID708078763351871489","Donald Trump","Julie 4 Trump!!","03/10/2016 18:55","null","none","37","RT @immigrant4trump: Mitt Romney Niece: I'm Voting Trump https://t.co/hgRXDIHDtU #Trump2016 #VoteTrump #GOPDebate"
"20050","ID708097242977054720","Ted Cruz","MHarvey","03/10/2016 20:08","Northern Virginia","Eastern Time (US & Canada)","17","RT @ImAmandaNelson: Hi Mr. Cruz when you're elected are the Handmaids going to be required to wear red because that clashes with my complex"
"20051","ID708102619873447936","Ted Cruz","John99","03/10/2016 20:29","Mecca Beer Hall","Canberra","41","RT @peddoc63: Tea Party Patriots are dangerous because they support Ted Cruz?? and the constitution! #GOPDebate @shootingfurfun https://t.c"
"20052","ID708008170581458945","Donald Trump","O'Irish??Trump","03/10/2016 14:14","Tennessee, USA","Eastern Time (US & Canada)","267","RT @immigrant4trump: The American people are DONE with career politicians ""VOTE FOR TRUMP!"" #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt"
"20053","ID708076269766897664","Donald Trump","Shon","03/10/2016 18:45","Pa/Upstate New York USA","none","3","RT @nepafortrump: 150"" SCREEN #GOPDebate WATCHING PARTY! #TeamTrumpPA SWITH to REPUBLICAN at the EVENT!  https://t.co/cAjemldxaM https://t."
"20054","ID708050975987208192","Donald Trump","IF YOU VOTE...","03/10/2016 17:04","USA, Nov 2012","Arizona","2","RT @googlepolitics: Behind the scenes with @google at the #GOPDebate: check out this 360-degree view from @realDonaldTrump's podium! https:"
"20055","ID707941350130319360","John Kasich","Chrissie Thompson","03/10/2016 09:49","Columbus, OH","Eastern Time (US & Canada)","0","Fact check of 4 Kasich #GOPdebate claims: Did he really find those expensive military hammers/screwdrivers? https://t.co/J33leWn94t"
"20056","ID708107708495482880","John Kasich","#VoteTrumpOH","03/10/2016 20:50","Nowhere You Want To Be @ 3 AM","Atlantic Time (Canada)","0","https://t.co/7llHRowHjT Stop #JonHusted #Kasich and #OhioGOP from playing very dirty ballot rigging game in #OhioPrimary #GOPDebate"
"20057","ID708110175425720320","Donald Trump","Cindy Jacobus","03/10/2016 20:59","Texas, USA","none","50","RT @KFoleyFL: Moment of silence for Nancy Reagan, Trump the only candidate to keep his head up and eyes open. #GOPDebate"
"20058","ID708090568010829824","Donald Trump","M Davis","03/10/2016 19:42","null","Pacific Time (US & Canada)","136","RT @scottienhughes: You know it's going to be a great night when you U run into @AnnCoulter before #GOPDebate #Trump https://t.co/F36lSkkqXw"
"20059","ID708110084971233282","Donald Trump","Mary Wollstonecraft","03/10/2016 20:59","Silver Spring, MD","Eastern Time (US & Canada)","178","RT @igorvolsky: Trump vows to repeal Obamacare, which means 129 million Americans with pre-existing conditions could lose their coverage #G"
"20060","ID708103906442780673","Donald Trump","Facebook Bychkov","03/10/2016 20:35","null","none","0","TheOnion: Where Donald Trump Stands On The Issues https://t.co/aDN8cH38TQ #GOPDebate https://t.co/RTKDPDjNnT"
"20061","ID707990128665468928","Ted Cruz","#RubioRepublican","03/10/2016 13:02","null","Atlantic Time (Canada)","0","Another #TBT: Ted Cruz used to say one thing, now he says another. Flip flop! #FLprimary #Flapol #sayfie #GOPDebate https://t.co/PS4qzJ0TLe"
"20062","ID707949987251011584","Ted Cruz","Flagramah","03/10/2016 10:23","Destin, FL","Eastern Time (US & Canada)","14","RT @OCAmericans: Fiorina: Odd Cruz Didnt Renounce Dual Citizenship Until 2014, Cruz Says One Thing In NY, Another In IA #GOPDebate https"
"20063","ID708103660568317952","Donald Trump","P Gongola","03/10/2016 20:34","Wheeling,WV.","none","29","RT @voteTrumpyes: It's almost Time for the #GOPDebate!! Donald Trump will have a Great Night!! #VoteTrump https://t.co/twBuToDKkO"
"20064","ID708107681194758144","Donald Trump","Tim Pate","03/10/2016 20:50","Saint Paul, MN","none","178","RT @igorvolsky: Trump vows to repeal Obamacare, which means 129 million Americans with pre-existing conditions could lose their coverage #G"
"20065","ID708101234738249729","John Kasich","USA TODAY 2016","03/10/2016 20:24","Washington, D.C.","Pacific Time (US & Canada)","1","RT @CThompsonENQ: Ahead of #GOPDebate, see my #factcheck of 4 claims we're likely to hear from John Kasich https://t.co/J33leW5ycV https://"
"20066","ID708100163038937088","John Kasich","Andrew Cullen","03/10/2016 20:20","SF//CA","Pacific Time (US & Canada)","0","Is there any room for bigotry in the @GOP ? @JohnKasich says ""Not a Chance"" #GOPDebate https://t.co/YFZlIeSSd1 https://t.co/eItSPsjK8i"
"20067","ID708100377355235328","Donald Trump","Politcswatch","03/10/2016 20:21","null","Eastern Time (US & Canada)","2","Fiorina might want to look at the voting results again if she saying late voters won't go for Trump. #GOPDebate"
"20068","ID708103884330242048","Donald Trump","Justice Milk","03/10/2016 20:34","null","none","0","#gopdebate #Trump #MemeHistory #lol #lmfao #lmao #donaldtrump  TheVulgarPuppy @YouTube  https://t.co/GU8IQP1b1A https://t.co/Lxpl1aSrMh"
"20069","ID708107211751481348","Donald Trump","3SophieGrace","03/10/2016 20:48","null","none","294","RT @immigrant4trump: MSM always showing Trump Protesters,but won't show protesters for other candidates @jaketapper #Trump2016 #GopDebate h"
"20070","ID708103695410434048","Marco Rubio","Patrick He","03/10/2016 20:34","Bothell, WA","none","0","Just googled Rubio's Bio, if he doesn't win Florida, he will be gone for sure. #GOPDebate"
"20071","ID708109967216222208","John Kasich","hve","03/10/2016 20:59","Ada, Michigan USA","Eastern Time (US & Canada)","0","This show of patriotism opening the #gopdebate seems weird considering these candidates (except maybe Kasich)"
"20072","ID707967584633618432","Donald Trump","Philip Levy","03/10/2016 11:33","Chicago, IL","Eastern Time (US & Canada)","4","RT @ChicagoCouncil: A Trump nomination could have serious effects on trade policy this summer, writes @philipilevy https://t.co/Wlulg6uZYH "
"20073","ID708109736743284737","Donald Trump","Bryan Horn","03/10/2016 20:58","USA! USA! USA! ","Eastern Time (US & Canada)","1","On behalf of the performing arts community, I apologize to everyone for annoying quartet versions of the national anthem. #GOPDebate #Trump"
"20074","ID708109218658836480","Donald Trump","Christie Monteleone","03/10/2016 20:56","New York ","Quito","0","Who the fuck is Donald Trump kidding with that peace sign? #GOPDebate"
"20075","ID708093826007736320","Ted Cruz","GARY CEARFOSS","03/10/2016 19:54","ELLWOOD CITY, PA. 16117","Eastern Time (US & Canada)","7","RT @frickenchamps: MT @CNM_Michael: 'Every time we run to the middle we lose.' ~Ted Cruz https://t.co/nhNa61Gvp9 #CruzCrew #PJNET #GOPDebate"
"20076","ID707985138932518912","Ted Cruz","Reverse the Decline","03/10/2016 12:43","Left Coast","none","23","RT @OCAmericans: Cruz Hires Major Insider Neal Bush Who Has been Investigated for Fraud. Hires Prostitutes & Thats OK? #GOPdebate https://t"
"20077","ID707967436075638784","John Kasich","JACOB DICK","03/10/2016 11:32","Jackson,Michigan","none","150","RT @JohnKasich: There's no substitute for nat'l security experience in a Commander-in-Chief. Gov Kasich has 18 yrs of it. #GOPDebate https:"
"20078","ID708109799574147075","Donald Trump","Noles|Titans|11","03/10/2016 20:58","USA","Eastern Time (US & Canada)","205","RT @JaredWyand: Let's be clear..  #NeverTrump is about ""Never someone we don't own""  You either play into it & let them win or vote Trump  "
"20079","ID708073310362460161","Donald Trump","??Josie Magee??","03/10/2016 18:33","null","Eastern Time (US & Canada)","0","@BOSSYtxmar55 @deanmuncy @FoxNews MSM wants us to be Anti-TRUMP or aka ANTI-AMERICAN! Sorry, I VOTE AMERICA, and I VOTE #TRUMP! #GOPDebate"
"20080","ID708107388964831233","Donald Trump","Mr. Fisher","03/10/2016 20:48","Eastvale, CA","Pacific Time (US & Canada)","0","Chairman of RNC is trying to get Trump supporters to let their guards down before they pull a #2016 Hanging Chad on Donald soon #GOPDebate"
"20081","ID708062102833876992","Donald Trump","Beltway Panda","03/10/2016 17:48","DC USA","Quito","2","RT @JeremyDeeSelden: Trump must denounce this himself tonight at the #GOPDebate  https://t.co/q9p2BIsavy"
"20082","ID708109443691626496","Ted Cruz","Bob Doom","03/10/2016 20:57","New Haven, CT","Quito","12","RT @thatRamosgirl: I feel like Cruz is backstage frantically adjusting his face like the restaurant bathroom scene at the end of Mrs. Doubt"
"20083","ID708075491354386432","John Kasich","troy smith","03/10/2016 18:42","null","London","14","RT @NBCNews: The Lid: Can @JohnKasich handle the heat at tonight's #GOPDebate?https://t.co/1JJgdmguwP https://t.co/F3yVtHqmOL"
"20084","ID708015868710551552","Marco Rubio","lisa","03/10/2016 14:45","ontario canada","none","42","RT @MDGallar: Rubio now denies lying to FL voters or supporting amnesty. We have photos of it Li'l Marco.  #GOPdebate #FLprimary https://t."
"20085","ID708109998681886724","Donald Trump","Ashley Flaherty","03/10/2016 20:59","Hilliard, OH","none","48","RT @LindaSuhler: Surely we won't have to endure a PP presentation against Trump again tonight. That was an MK trick... #GOPDebate #Trump2016"
"20086","ID708042931974873089","Ted Cruz","Tim Gradous","03/10/2016 16:32","Home of MASTERS ??","none","59","RT @peddoc63: My Friends we have a choice! Democrats favorite deal maker or Ted Cruz! #ChooseCruz #CruzCrew #Pjnet #GOPDebate https://t.co/"
"20087","ID708104652328460289","Donald Trump","Stevie Thunda!","03/10/2016 20:37","There ","Eastern Time (US & Canada)","54","RT @Chris_Dignam: Another #TrumpRally , another senseless assault https://t.co/9Hcdk2sIJ7 #Trump #GOPDebate"
"20088","ID708101102173081600","Donald Trump","Patty","03/10/2016 20:23","Zuid-Holland, Nederland","Athens","1","RT @Seccie: #Hyped for the #GOPDebate   Watch it here:   https://t.co/GyRQKYtjTg   #Trumptrain #Trump2016 #Trump"
"20089","ID708103168605986816","Donald Trump","PatriceLumumba Jones","03/10/2016 20:32","New York","Eastern Time (US & Canada)","63","RT @pattonoswalt: Six minutes. Six minutes. Six minutes, Douch-ey Trump, you're on. #GOPDebate"
"20090","ID708026226699608064","Donald Trump","hygiene teacher","03/10/2016 15:26","null","none","331","RT @WesleyRickard: Dr. E. Dewey Smith House of Hope Georgia Endorses Donald J Trump for President #NC #FL #CA #OH #MO #GOPDebate #FOX https"
"20091","ID708091884313268224","Donald Trump","Andrew Dyer","03/10/2016 19:47","Chula Vista, CA","none","71","RT @pattonoswalt: Trump does sun salutations before tonight's #GOPDebate. https://t.co/wG7MjJLIel"
"20092","ID708103250768207873","Marco Rubio","Law-rence","03/10/2016 20:32","West Virginia Wesleyan College","Atlantic Time (Canada)","21","RT @FiveThirtyEight: It hasnt done him much good, but Rubio has a clear lead in endorsements. https://t.co/4Xuserzcmv #GOPDebate"
"20093","ID707797721873252352","Donald Trump","Patriot Flag 2016","03/10/2016 00:18","USA","Central Time (US & Canada)","1","RT @JoeBobMr: SEC ExitPolls say58%of #Rino #DonaldTrump Base Was4BaracObama2012=So #Trump Got #KKK Vote: Why-Can-Democrat Be in #GOPDebate "
"20094","ID708109281606762496","Donald Trump","*Tricia Star*","03/10/2016 20:56","null","none","205","RT @JaredWyand: Let's be clear..  #NeverTrump is about ""Never someone we don't own""  You either play into it & let them win or vote Trump  "
"20095","ID708095763708940288","Donald Trump","Jos�� Cervera 2.0","03/10/2016 20:02","Dallas / Ft.Worth, Texas","none","1","RT @TalKopan: Flying around the #GOPDebate this afternoon: ""no Trump, no Mexican farmworkers no food"" https://t.co/V3f2IEW8gl"
"20096","ID708093513108426752","Ted Cruz","Tim Kelley","03/10/2016 19:53","null","none","17","RT @femijr: Ted Cruz didn't have many friends in Washington DC because he kept his promises to US. #tcot #PJNET #ChooseCruz #CruzCrew #GOPD"
"20097","ID708034801303994368","Ted Cruz","John","03/10/2016 16:00","FL","Central Time (US & Canada)","17","RT @Elisabeth242: Looks like Ted Cruz Is BEST!! #GOPDebate https://t.co/zBWqGsJIKR"
"20098","ID708105437552484352","Donald Trump","argentine gay","03/10/2016 20:41","Indiana, USA","Eastern Time (US & Canada)","62","RT @WayneEdH: Best part of #GOPDebate was CNN's peer group who had 5 republicans say they would vote for #Hillary2016 if Trump is nominee! "
"20099","ID708084067791720449","Donald Trump","judyjewell","03/10/2016 19:16","ohio","none","22","RT @WayneDupreeShow: Caller 1 from SW Virginia - I am insulted by anti-Trump supporters  Call in ? 202 470 6738  https://t.co/cSgpDM32HO #T"
"20100","ID708098308070244353","Donald Trump","Daniel Young","03/10/2016 20:12","New York","none","294","RT @immigrant4trump: MSM always showing Trump Protesters,but won't show protesters for other candidates @jaketapper #Trump2016 #GopDebate h"
"20101","ID708109798382968832","John Kasich","Gilbert Gilson","03/10/2016 20:58","null","Pacific Time (US & Canada)","0","Kasich's heart is dropping a little low ? #GOPDebate"
"20102","ID708104953571762176","Donald Trump","Hilary","03/10/2016 20:39","Bluer than blue NYS","Eastern Time (US & Canada)","0","In case anyone is wondering, Donald Trump will be announcing later that everyone has declared him the winner of tonight's #GOPDebate."
"20103","ID708107232857096192","Donald Trump","Kai H. Jorgensen","03/10/2016 20:48","Columbia, SC","Eastern Time (US & Canada)","1","How #Trump could be blocked at a contested Republican convention https://t.co/N7FVddO5FK #GOPDebate #NeverTrump https://t.co/kUeuAVaGO9"
"20104","ID708045158797815808","Donald Trump","pat clark","03/10/2016 16:41","null","none","313","RT @immigrant4trump: Luther Campbell on CNN ""Rappers will support Trump.Trump taps into what people won't say aloud""#Trump2016 #GOPDebate h"
"20105","ID708110076247195648","Donald Trump","vox nihili","03/10/2016 20:59","Columbia, SC","Eastern Time (US & Canada)","0","they brought hugh hewitt, of the radio show trump says no one listens to, back #GOPDebate"
"20106","ID708109990209388544","Donald Trump","Alex Barrett","03/10/2016 20:59","Slippery Rock, PA","Eastern Time (US & Canada)","1","Trump will sue the bell for stopping him #GOPDebate"
"20107","ID707988729281970176","Donald Trump","Subu","03/10/2016 12:57","Montana, USA","none","6","RT @kevcirilli: #BREAKING:  TRUMP WILL HOLD PRESSER TOMORROW AT 9 A.M. AT TRUMP MAR-A-LAGO... this after #GOPDebate.  (1/2)"
"20108","ID708104129336492032","Marco Rubio","Joel","03/10/2016 20:35","@politicaljoel ","Atlantic Time (Canada)","27","RT @KyleKulinski: Anderson Cooper just said it's ""make or break, do or die"" for Marco Rubio tonight. No, that was like a month ago. Already"
"20109","ID708110086527389696","Donald Trump","lorischovanec","03/10/2016 20:59","null","none","3","RT @atlaswon: #MakeAmericaGreatAgain #Trump2016 #GOP #Trump #GOPDebate  Best be no games either! Americans will not stand for it https://t."
"20110","ID708044037207490561","Donald Trump","4q2","03/10/2016 16:37","USA","none","0","@KatyTurNBC @realDonaldTrump trump previously said he'll pay legal fees, he incites violence #GOPDebate https://t.co/bndcTQ3fgC"
"20111","ID708056052114149376","Donald Trump","ginarocksu","03/10/2016 17:24","null","Central Time (US & Canada)","1","RT @JoePrich: The #FireCoreyLewandowski nonstory is an orchestrated HOAX designed to put Trump on the defensive before the #GOPDebate"
"20112","ID708110100913754112","John Kasich","Crowdpac","03/10/2016 20:59","Menlo Park, CA","Pacific Time (US & Canada)","6","Kasich is the most moderate on stage #GOPDebate https://t.co/EEWOG3lEZA"
"20113","ID708102413438164992","Donald Trump","KB","03/10/2016 20:29","null","none","63","RT @pattonoswalt: Six minutes. Six minutes. Six minutes, Douch-ey Trump, you're on. #GOPDebate"
"20114","ID707795846272782337","Donald Trump","Rafael Celis??","03/10/2016 00:10","I travel the globe in Airplane","Eastern Time (US & Canada)","129","RT @CNN: .@realDonaldTrump: Tomorrow's #GOPDebate will be ""softer, but I'll be ready"" https://t.co/xt8VepiCyp https://t.co/gqfLq0gRrv"
"20115","ID708106001678000132","Donald Trump","Justin Cohen","03/10/2016 20:43","Massachusetts","none","0","Commentary on CNN abt which candidate is going to punch in which direction. Hmmgiven actual punching at Trump rally #GOPDebate"
"20116","ID708091870774038528","Donald Trump","Reza Aslan","03/10/2016 19:47","NYC/LA","none","71","RT @pattonoswalt: Trump does sun salutations before tonight's #GOPDebate. https://t.co/wG7MjJLIel"
"20117","ID708103409254207488","Marco Rubio","Marcie Bianco","03/10/2016 20:33","New York City","Eastern Time (US & Canada)","0","Coral Gables? This is a queen debate fit for Rubio #GOPDebate"
"20118","ID708110161190105089","John Kasich","Regina Phalange","03/10/2016 20:59","�� ? �� ?","Alaska","0","Kasich got a haircut #GOPDebate"
"20119","ID708046836544770049","Donald Trump","Karen","03/10/2016 16:48","Palm Beach Gardens, FL","Eastern Time (US & Canada)","313","RT @immigrant4trump: Luther Campbell on CNN ""Rappers will support Trump.Trump taps into what people won't say aloud""#Trump2016 #GOPDebate h"
