tweet_id,candidate,name,tweet_created,tweet_location,user_timezone,retweet_count,sentiment,quote_sentiment,tone(general),text
ID708101502242435072,Trump,Amanda Beaty,3/10/2016 20:25,null,Central Time (US & Canada),1,neutral,neutral,positive,"All this pre-debate talk about ""Trump Steaks"" really makes me want steak... #GOPDebate #CNNDebate"
ID708079892454178816,Trump,arturo,3/10/2016 18:59,sailing in the wind ..~~__/)~~,Atlantic Time (Canada),25,negative,negative,negative,RT @OccupyWallStNYC: All evidence suggests the Trump campaign is lying about manhandling a reporter #GOPDebate https://t.co/sBgmYtKRMg http…
ID708052754892242944,Trump,Peter Garcia,3/10/2016 17:11,null,null,15,positive,positive,positive,RT @USAforTrump2016: CNN Republican Debate TONIGHT! 8:30pm! Tune in and support @realDonaldTrump #TrumpTrain #TeamTrump #Trump #GOPDebate #…
ID708103567266045953,Trump,Rebecca Bahret,3/10/2016 20:33,The sunny westcoast of Florida,Atlantic Time (Canada),0,negative,negative,negative,Maybe we will be lucky and Trump will talk about his weiner again tonight. #GOPDebate #CNNDebate
ID708011562376646656,Trump,Anniepanda5,3/10/2016 14:28,"Montgomery, Texas",Central Time (US & Canada),267,positive,positive,negative,"RT @immigrant4trump: The American people are DONE with career politicians""VOTE FOR TRUMP!"" #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…"
ID708097756414529536,Trump,Andrew Perez,3/10/2016 20:10,"Miami, FL",Central Time (US & Canada),0,neutral,neutral,neutral,"Yup ... CNN just used a @HouseofCards quote ahead of #GOPDebate re: Trump. ""Public opinion doesn't have a law degree."""
ID708099504298442757,Trump,Lisa,3/10/2016 20:17,null,Atlantic Time (Canada),196,positive,positive,negative,RT @MIAMIforTRUMP: Don't forget! ?????The Media lies!????? #MakeAmericaGreatAgain #Trump2016 #TrumpRally #TrumpTrain #TRUMP #GOPDebate http…
ID707984627487518720,Trump,OrgConservAmericans,3/10/2016 12:41,"Washington, D.C. & TEXAS!",Central Time (US & Canada),1,positive,positive,positive,"Bottom line, Trump won Michigan by over 160K votes! No glory in 2nd or 3rd in a 3 1/2 man race! #GOPdebate  https://t.co/tUpmtUMMx1"
ID708091654838861824,Trump,BBC News (World),3/10/2016 19:46,"London, UK",London,14,negative,negative,negative,RT @awzurcher: Who is going to take a metaphorical bat to Trump tonight at the #GOPDebate in Florida? https://t.co/RzhY0LzyiM
ID708101052600430592,Trump,David,3/10/2016 20:23,"Boston, MA",Pacific Time (US & Canada),0,neutral,neutral,negative,"All out war tonight on the #GOPDebate.CNN is VERY biased and favors the DNC. Trump will be attacked. No relevant questions, just biased crap"
ID707975869277450240,Trump,Martha  P Fred,3/10/2016 12:06, USA,America/Los_Angeles,8,neutral,neutral,neutral,"RT @livenewscloud: Who is your choice for President of the United States?#Election2016 #GOPDebate #Trump #HillaryClinton #FeelTheBern"
ID708100791836381184,Trump,iCaree,3/10/2016 20:22,"Ames, Iowa #IowaStateCyclones",Central Time (US & Canada),56,positive,positive,positive,"RT @WayneDupreeShow: Caller 5  from NY- I voted for Bill Clinton, now I am switching to Trump Call in ? 202 470 6738https://t.co/cSgpDM…"
ID708107456778477569,Trump,Susan Lukas,3/10/2016 20:49,null,Pacific Time (US & Canada),96,positive,positive,neutral,"RT @immigrant4trump: ?Trump = ACCOMPLISHED BUSINESSMAN?Hillary= ACCOMPLISHED CRIMINAL?https://t.co/CnYQ1FC8KF  #Trump2016 #GopDebate htt…"
ID708100193267257344,Trump,Joe Wosik,3/10/2016 20:20,"San Mateo, CA",Pacific Time (US & Canada),0,negative,negative,negative,OHHHH Anderson....you could broadcast Bernie or Hillary but you don't. You have TRUMP on b/c of the FECES THROWING he provides #GOPDebate
ID708102724508749824,Trump,josh van,3/10/2016 20:30,null,null,192,positive,positive,negative,"RT @immigrant4trump: The American people are DONE with career politicians""VOTE FOR TRUMP!"" #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…"
ID708016352674521088,Trump,Hughes 4 WH PressSec,3/10/2016 14:47,USA,null,12,neutral,neutral,neutral,RT @scottienhughes: Serious last night but smiling as today is #GOPDebate day Miami! Will #Trump get 2 talk policy? @wolfblitzer @CNN https…
ID708110125991665664,Trump,Donna Dishman,3/10/2016 20:59,null,Pacific Time (US & Canada),0,negative,negative,negative,#Trump is moving like an old man. #GOPDebate
ID708109220466405376,Trump,Rhonda Maner Owens,3/10/2016 20:56,"Hartselle, Alabama",Central Time (US & Canada),35,negative,negative,negative,RT @VickiGP1: …Malignant And Psychopathic… Donald Trump? Expert Studies 600 Hours Of #Trump Footage #GOPDebate #FLPrimary   https://t.co/Im…
ID708022215552475136,Trump,Brian D Moore,3/10/2016 15:10,null,null,5,negative,negative,negative,RT @Saint_Obama: So in Donald Trump's world it's ok to harass & bruise reporters because you think they are not friendly to your campaign? 
ID708072279201034240,Trump,let there be light,3/10/2016 18:29,"California, USA",null,68,positive,positive,negative,"RT @ChristiChat: Shame on #MittRomney!His actions made his wife look like an ass#Trump2016 #GOPDebate#TCOT https://t.co/KMH8N09MkT"
ID708104846042402816,Trump,Josh Centers,3/10/2016 20:38,Tennessee,Central Time (US & Canada),17,neutral,neutral,neutral,"RT @darth: candidates all backstage feasting on trump steaks and drinking trump wine rn #GOPDebate"
ID708099536166658048,Trump,KSM,3/10/2016 20:17,"Richmond, VA",Central Time (US & Canada),10,negative,negative,negative,"RT @JessicaChasmar: Whether the ""yank"" happened or not, #Trump has condoned violence at his rallies and needs to be confronted on it tonigh…"
ID708021867202875393,Trump,St_O 4 TED CRUZ,3/10/2016 15:09,SOUTH EAST FL,Eastern Time (US & Canada),5,negative,negative,negative,So in Donald Trump's world it's ok to harass & bruise reporters because you think they are not friendly to your campaign? Really? #GOPdebate
ID708109817634791424,Trump,Steve Earle,3/10/2016 20:58,null,Eastern Time (US & Canada),56,negative,negative,negative,RT @whignewtons: Trump only candidate who doesn't bow his head or close his eyes for moment of silence for Nancy Reagan. #GOPDebate
ID707980333778481152,Trump,Edward Shultz,3/10/2016 12:23,"Coralville, IA",null,0,positive,positive,positive,Donald Trump will destroy the competition tonight in the #GOPDebate on @CNN . Its obvious that he is the nominee okay @MittRomney
ID708006218413965312,Trump,Chief Ridiculous,3/10/2016 14:06,null,Pacific Time (US & Canada),11,positive,positive,neutral,RT @nepafortrump: @DanScavino @realDonaldTrump GET YOUR TICKETS (VIP Seating SOLD OUT) #GOPDebate #TeamTrumpPA https://t.co/cAjemldxaM http…
ID708054764756422656,Trump,AmericanAnswers.org,3/10/2016 17:19,Texas (AAorg2020@gmail.com),Central Time (US & Canada),85,negative,negative,negative,"RT @tgradous: #Trump Has The Lowest Favorability RatingsEVER For a Frontrunnerhttps://t.co/HDXsoYyS5o… #GOPDebate#NeverTrump https://t.c…"
ID708068506437341184,Trump,Lincoln,3/10/2016 18:14,?Anti-Death Penalty Advocate?,null,3,negative,negative,negative,RT @Terrence_CFP: Video: Black Man Punched In Face At #Trump Rally https://t.co/m5txOWWIDr via @thinkprogress #GOPDebate
ID708108986462052353,Trump,Val kudirka,3/10/2016 20:55,"Portland, OR",null,1,negative,negative,negative,#GOPDebate Trump's or Drumph's rallies are getting way to alike with what went on in Nuremberg!
ID708110039152599040,Trump,LuF,3/10/2016 20:59,"Missouri, USA",Central Time (US & Canada),0,neutral,neutral,negative,Trump is already pissed. #GOPDebate
ID707924655311626240,Trump,DG,3/10/2016 8:42,Here and there,Pacific Time (US & Canada),0,negative,negative,negative,What are the odds Trump shows up for tonight's #GOPDebate as a hundred foot hologram on a throne?
ID708109888329687040,Trump,Summer Sharp,3/10/2016 20:58,Texas,Central Time (US & Canada),12,negative,negative,negative,"RT @GottaLaff: #GOPDebate Moment of silence for Nancy Reagan: #Trump kept his eyes open, saw others had theirs closed, closed his, opened t…"
ID708106943781597184,Trump,Daniel,3/10/2016 20:47,null,Tijuana,69,positive,positive,positive,"RT @WayneDupreeShow: Caller 5  from Pittsburgh -Close to 50K have switched to GOP to support TrumpCall in ? 202 470 6738https://t.co/cS…"
ID708098737650814976,Trump,Ann Cauley,3/10/2016 20:14,null,Central Time (US & Canada),192,positive,positive,negative,"RT @immigrant4trump: The American people are DONE with career politicians""VOTE FOR TRUMP!"" #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…"
ID708108235543334912,Trump,Lisa Wood Shapiro,3/10/2016 20:52,"Brooklyn, NY",Atlantic Time (Canada),178,negative,negative,negative,"RT @igorvolsky: Trump vows to repeal Obamacare, which means 129 million Americans with pre-existing conditions could lose their coverage #G…"
ID708093288419565568,Trump,The Great M,3/10/2016 19:52,null,Alaska,1,negative,negative,negative,"RT @MissMandi00: Should we take bets on which #Trump shows up tonight? The milder version or the whiney, got his panties in a knot version!…"
ID708106600305655809,Trump,Bill Viola,3/10/2016 20:45,"New York, USA",Eastern Time (US & Canada),39,neutral,neutral,negative,"RT @mVespa1: So, is anyone going to ask Trump about this tonight? https://t.co/DsS6uQCnAi #tcot #GOPdebate"
ID708104102664736768,Trump,Freddy Miller,3/10/2016 20:35,null,null,136,,,,RT @scottienhughes: You know it's going to be a great night when you U run into @AnnCoulter before #GOPDebate #Trump https://t.co/F36lSkkqXw
ID708100336809086976,Trump,Brian,3/10/2016 20:20,New Jersey,Atlantic Time (Canada),71,negative,negative,neutral,RT @pattonoswalt: Trump does sun salutations before tonight's #GOPDebate. https://t.co/wG7MjJLIel
ID708109608901070848,Trump,Charbeanmarie,3/10/2016 20:57,null,null,47,negative,negative,negative,"RT @VickiGP1: Donald #Trump broke anti-discrimination laws to keep a mob boss gambling at his casinos, fined #200,000 #GOPDebate  https://t…"
ID707998260720443395,Trump,Mrs. Quintas,3/10/2016 13:35,lisboa,null,20,positive,positive,neutral,RT @cheapshot89: Cartoon of the Day 3/4/16: #GOPDebate #Trump2016 #Trump #GOP @realDonaldTrump https://t.co/cOPhHhE9NO
ID708091108866134016,Trump,Simon,3/10/2016 19:44,Out,Eastern Time (US & Canada),71,negative,negative,neutral,RT @pattonoswalt: Trump does sun salutations before tonight's #GOPDebate. https://t.co/wG7MjJLIel
ID708109504919916547,Trump,Trevor Alcove,3/10/2016 20:57,Mississauga,Eastern Time (US & Canada),0,negative,negative,negative,Trump opened his eyes in the middle of the moment of silence.  REAGAN HATER CONFIRMED.  #GOPDebate
ID708084220397117440,Trump,Stephen Kloscak,3/10/2016 19:16,"Goodyear, AZ",Arizona,1,negative,negative,negative,RT @AllyGeighter: Not watching this one. Can't stand sound of Trump's little voice coming out of that little fish mouth as he waves his tin…
ID707969624512536580,Trump,TRUMPsTina,3/10/2016 11:41,"Trump Nation, USA",null,82,positive,positive,positive,"RT @immigrant4trump: Florida Vote For Trump ""March 15"" #FLPrimary #FloridaPrimary #Trump2016 #GOPDebate #AlwaysTrump Watch Video: https://t…"
ID708107440441655297,Trump,wisgrrl,3/10/2016 20:49,"Wisconsin, USA",Central Time (US & Canada),0,positive,positive,neutral,"So RNC is embracing Trump's inevitability? Priebus stating lets agree whoever the nominee is, we all support him. #GOPDebate"
ID707976099125452800,Trump,St Croix Free Press,3/10/2016 12:07,null,null,267,positive,positive,negative,"RT @immigrant4trump: The American people are DONE with career politicians""VOTE FOR TRUMP!"" #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…"
ID708108134305423360,Trump,ByJohnLMicek,3/10/2016 20:51,"Harrisburg, PA",Quito,4,negative,negative,negative,"RT @JamesPindell: Just heard @JohnKingCNN say ""enormous steaks."" I guess we are still talking about Trump products #GOPDebate"
ID708096488920915968,Trump,James Priest,3/10/2016 20:05,null,null,20,negative,negative,negative,RT @jiadarola: If they want to one up all the dick talk from the last #GOPDebate we're gonna need info on Trump's taint.
ID708019306769076224,Trump,dwayne roaden,3/10/2016 14:58,null,null,267,positive,positive,negative,"RT @immigrant4trump: The American people are DONE with career politicians""VOTE FOR TRUMP!"" #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…"
ID708107986502164480,Trump,Zachary O'Gafford,3/10/2016 20:51,"Austin, Texas",Central Time (US & Canada),0,positive,positive,positive,"Donald Trump is literally inspiring heavy drug users to get clean #GOPDebate #TrumpTrain https://t.co/iUrcgq2zkw"
ID708109424364232704,Trump,MEWtopia,3/10/2016 20:56,"Campurridge, Meowsachusetts",Eastern Time (US & Canada),4,negative,negative,negative,Trump cannot stand still during the moment of silence for Nancy Reagan. He may ACTUALLY be a 1st grader. #GOPDebate
ID708104463882432512,Trump,Joshie Juice,3/10/2016 20:37,"Austin, Texas ",null,0,positive,positive,neutral,"Republican debate is NOT ""breaking news,"" CNN. Make Trump news media's president, and then we get who we want. #trdebates #GOPDebate"
ID708103624224690176,Trump,Anti-tyranny,3/10/2016 20:33,null,Pacific Time (US & Canada),22,positive,positive,positive,RT @DbSassssa: Donald Trump is unstoppable #VoteTrump #GOPDebate https://t.co/5NOKsVnseR
ID708070629166206976,Trump,Goldilocks,3/10/2016 18:22,null,Eastern Time (US & Canada),10,neutral,positive,negative,"RT @ameripundit: So, who has the stomach to watch another Trump-bashing cage match tonight? 8:30 EST CNN  #GOPDebate https://t.co/oyxNz4G4Xa"
ID708096315373326340,Trump,IWantAConservative,3/10/2016 20:04,USA,Eastern Time (US & Canada),36,negative,negative,negative,RT @AnyoneButDTrump: Trump's strategy for the #GOPDebate tonight: https://t.co/mNAobeY7d9
ID708091003132059648,Trump,Silverbfly,3/10/2016 19:43,"Sarasota, Florida",Eastern Time (US & Canada),38,neutral,neutral,negative,"RT @WayneDupreeShow: Caller 24 from ARK  - CAIR news conf today was establishment hit on Trump Call in ? 202 470 6738https://t.co/cSgpDM…"
ID708107523425865728,Trump,Sam Ghazi,3/10/2016 20:49,"California, USA",Alaska,0,neutral,neutral,neutral,The Real Donald Trump #GOPDebate #FloridaPrimary #Florida  https://t.co/8h4xI78FYF
ID708092905248964608,Trump,TawNi50yearsOLd,3/10/2016 19:51,"Wherever / Hate RAP not a bitch, a Hoe or Buffoon",Eastern Time (US & Canada),0,negative,negative,negative,Crazy stupid Racist trump supporters compilation @youTube https://t.co/pOeNeZXW5A @realDonaldTrump Koolaid Drinker #GOPdebate #CNN #MTV
ID708073127994007553,Trump,Eve,3/10/2016 18:32,"Illinois, USA",Central Time (US & Canada),61,positive,positive,positive,RT @Trump2016Donald: Trump signs EVERYWHERE in Ohio! #OHPrimary #OhioPrimary #Trump2016 #TrumpTrain #MakeAmericaGreatAgain #GOPDebate https…
ID707937958536601600,Trump,Sherrie,3/10/2016 9:35,Happy  ,Eastern Time (US & Canada),49,negative,negative,negative,RT @9a1e6c8a99984e2: Not A Single One Of @realDonaldTrump 75 Statements Fact Checked Hey  #Trump Stop Lying Man ! #GOPDebate ? #DemDebate h…
ID708057296610447360,Trump,Lucy GOP,3/10/2016 17:29,"Miami, FL",null,313,positive,positive,positive,"RT @immigrant4trump: Luther Campbell on CNN ""Rappers will support Trump.Trump taps into what people won't say aloud""#Trump2016 #GOPDebate h…"
ID707996438920192001,Trump,David L Culberson,3/10/2016 13:27,"26.190672,-98.117565",Central Time (US & Canada),12,neutral,neutral,neutral,RT @scottienhughes: Serious last night but smiling as today is #GOPDebate day Miami! Will #Trump get 2 talk policy? @wolfblitzer @CNN https…
ID708106635764310016,Trump,Dylan Shearer,3/10/2016 20:45,"Chicago, Illinois",Mountain Time (US & Canada),0,neutral,neutral,negative,Back-to-back Anti-Trump ads? Where was this in 2015? #GOPDebate
ID708096953477804032,Trump,53Bird71,3/10/2016 20:07,"Carson City, NV",null,15,positive,positive,positive,RT @USAforTrump2016: CNN Republican Debate TONIGHT! 8:30pm! Tune in and support @realDonaldTrump #TrumpTrain #TeamTrump #Trump #GOPDebate #…
ID708090102023520257,Trump,rockat ??,3/10/2016 19:40,Fascination St.,Eastern Time (US & Canada),71,negative,negative,neutral,RT @pattonoswalt: Trump does sun salutations before tonight's #GOPDebate. https://t.co/wG7MjJLIel
ID708107820537933824,Trump,Cruz for America,3/10/2016 20:50,null,null,0,negative,negative,negative,"If Trump is the nominee,  I know a lot of folks , including myself,  that will LEAVE the GOP to become independents!! #GOPDebate"
ID708092714093568001,Trump,Melissa Ashley,3/10/2016 19:50,"Raceland, LA",Central Time (US & Canada),294,,,,"RT @immigrant4trump: MSM always showing Trump Protesters,but won't show protesters for other candidates @jaketapper #Trump2016 #GopDebate h…"
ID708098466757484545,Trump,Phate,3/10/2016 20:13,North Dakota,America/Chicago,20,negative,negative,negative,RT @jiadarola: So is Donald Trump going to pay for that racist's court costs? #GOPDebate
ID708013152395522048,Trump,Unlimited_mpg,3/10/2016 14:34,null,Pacific Time (US & Canada),267,positive,positive,negative,"RT @immigrant4trump: The American people are DONE with career politicians""VOTE FOR TRUMP!"" #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…"
ID708098725609132032,Trump,Florida Dz,3/10/2016 20:14,Central Florida,null,192,positive,positive,negative,"RT @immigrant4trump: The American people are DONE with career politicians""VOTE FOR TRUMP!"" #Trump2016 #VoteTrump #FLPrimary #GOPDebate htt…"
ID707795800236101632,Trump,Samira Chalhoub,3/10/2016 0:10,"Menlo Park, CA",null,330,positive,positive,positive,RT @WesleyRickard: Representative Jim Carns AL Endorses Donald J Trump for President of the United #FL #GOPDebate #OH #IL #CPAC #ccot https…
ID708110072853835776,Trump,Nonna,3/10/2016 20:59,null,Central Time (US & Canada),31,negative,negative,negative,RT @toddstarnes: In fairness Trump may have thought the other candidates were bowing their heads out of reverence to him. #GOPDebate
ID707955712022937600,Trump,Joe Bob,3/10/2016 10:46,null,null,9,negative,negative,negative,"RT @ACBadBeat: Der Furher #Trump has not yet tweeted today. Maybe he's studying for #GOPDebate at #TrumpUniversity (Idiot!) #NeverTrump"
ID708110103530987520,Trump,Josh Smith,3/10/2016 20:59,Houston,Central Time (US & Canada),32,negative,negative,negative,RT @NumbersMuncher: Jake Tapper currently explaining the rules of the #GOPDebate as if anyone is going to make sure Donald Trump actually h…
ID708105454245847040,Trump,Jimmy Batte,3/10/2016 20:41,"Aiken, SC",Eastern Time (US & Canada),29,positive,positive,positive,RT @voteTrumpyes: It's almost Time for the #GOPDebate!! Donald Trump will have a Great Night!! #VoteTrump https://t.co/twBuToDKkO
ID708107617072193537,Trump,Micah Edelblut,3/10/2016 20:49,null,null,0,positive,positive,negative,GOP chairman takes all the teeth out of any trump criticism before the debate even starts #GOPDebate
ID708110138071064576,Trump,Abhay Walia,3/10/2016 20:59,"Los Angeles, CA",Pacific Time (US & Canada),0,negative,negative,negative,Trump talked about his genitalia in the last #GOPDebate. I wonder what's gonna happen tonight
ID708101877074894848,Trump,Anthony Cave,3/10/2016 20:26,"Phoenix, AZ",Eastern Time (US & Canada),4,neutral,neutral,neutral,"Watching tonight's #GOPDebate? Hear what Trump's AZ campaign chairman said about ISIS/U.S.-Mexico border...https://t.co/NZbROjqN5C #abc15"
ID708105127715020800,Trump,gma maniac,3/10/2016 20:39,Cardinal nation,null,47,negative,negative,negative,"RT @VickiGP1: Donald #Trump broke anti-discrimination laws to keep a mob boss gambling at his casinos, fined #200,000 #GOPDebate  https://t…"
ID708096907873099777,Trump,Bethany Albertson,3/10/2016 20:07,Austin,null,1,negative,negative,negative,Trump should be asked if he will fire his campaign manager in the #GOPDebate
ID708083713834258432,Trump,AmericanCruzinSpring,3/10/2016 19:14,Romans 8:37-39 Psalm 118,Pacific Time (US & Canada),1,negative,negative,negative,"The Buck Stops . . . Over There. Like Obama, Trump Always Blames Others. https://t.co/7FPYw9PVtM #gopdebate"
ID708088001419608068,Trump,Karen Vazquez Alonso,3/10/2016 19:31,null,null,24,negative,negative,negative,RT @WomanVote: #GOPDebate @thehill #Trump has a pattern of HATE! #GOP #No2KKK #FireWallHate #USlatino #BlackVote #Youth Response -> https:/…
